date,game_id,name,adj_baverage,avg_vote_rank,votes_1000,votes_5000,votes_10000,votes_25000,votes_50000,votes_100000
2021-09-20,521,Crokinole,8.18528395225087,126.7,73,96,125,146,156,164
2021-09-20,161936,Pandemic Legacy: Season 1,8.06701525322228,4.3,3,2,3,3,5,10
2021-09-20,178900,Codenames,8.0159389761112,45.8,139,53,35,18,17,13
2021-09-20,254640,Just One,8.00847591219378,176,192,161,166,174,180,183
2021-09-20,173346,7 Wonders Duel,7.95724690799097,8.3,22,9,5,5,4,5
2021-09-20,230802,Azul,7.93026266714844,28.7,71,34,20,15,16,16
2021-09-20,284083,The Crew: The Quest for Planet Nine,7.88617723372052,63.7,54,44,58,67,75,84
2021-09-20,165722,KLASK,7.85515235312028,370,258,337,376,405,420,424
2021-09-20,163412,Patchwork,7.84113729167203,50,120,55,42,32,26,25
2021-09-20,266192,Wingspan,7.82771124152921,13.3,26,14,9,9,10,12
2021-09-20,92828,Dixit: Odyssey,7.81713855134583,177,265,174,157,158,153,155
2021-09-20,224037,Codenames: Duet,7.81132363832144,171.3,217,160,154,164,168,165
2021-09-20,244521,The Quacks of Quedlinburg,7.80179726862437,60,74,52,55,58,60,61
2021-09-20,46213,Telestrations,7.79108045400088,249,327,236,232,233,230,236
2021-09-20,192291,Sushi Go Party!,7.78731922171036,136,253,136,116,106,105,100
2021-09-20,318977,MicroMacro: Crime City,7.7819220477776,478.5,257,445,505,535,560,569
2021-09-20,266507,Clank! Legacy: Acquisitions Incorporated,7.77117909862596,283.3,18,189,299,377,402,415
2021-09-20,204583,Kingdomino,7.77093911367962,123.5,300,135,99,77,67,63
2021-09-20,54043,Jaipur,7.77086362323319,84.2,198,92,65,54,50,46
2021-09-20,156546,Monikers,7.7701765211604,537.3,289,502,559,607,630,637
2021-09-20,225694,Decrypto,7.76068443571396,144.7,107,122,139,160,169,171
2021-09-20,129622,Love Letter,7.69329091910827,125.5,387,145,92,57,41,31
2021-09-20,39856,Dixit,7.69014662252546,126.5,376,144,94,61,47,37
2021-09-20,167791,Terraforming Mars,7.67288788994823,2.3,6,3,2,1,1,1
2021-09-20,291457,Gloomhaven: Jaws of the Lion,7.66695107297598,54.3,4,15,36,70,96,105
2021-09-20,188834,Secret Hitler,7.661765760723,136.3,197,128,126,120,122,125
2021-09-20,263918,Cartographers,7.66125218677752,145.8,135,125,137,155,160,163
2021-09-20,209010,Mechs vs. Minions,7.65088260913202,94.8,53,65,84,112,124,131
2021-09-20,128882,The Resistance: Avalon,7.64817724020537,95.2,178,95,77,75,73,73
2021-09-20,232832,Century: Golem Edition,7.64181025995771,290.3,201,254,289,324,332,342
2021-09-20,201808,Clank!: A Deck-Building Adventure,7.63490569753032,53.7,76,49,48,46,52,51
2021-09-20,156129,Deception: Murder in Hong Kong,7.63012227987024,171.3,247,166,152,157,152,154
2021-09-20,174430,Gloomhaven,7.62700767601006,2.2,1,1,1,2,2,6
2021-09-20,233867,Welcome To...,7.62260525889981,123.2,172,116,110,114,114,113
2021-09-20,274960,Point Salad,7.61325124125803,345.7,449,327,326,326,322,324
2021-09-20,262543,Wavelength,7.60841182272616,502.3,435,484,507,519,529,540
2021-09-20,182631,Star Realms: Colony Wars,7.60441983770069,309.3,152,267,320,362,374,381
2021-09-20,92415,Skull,7.60114764159647,285,488,282,254,235,228,223
2021-09-20,239188,Chronicles of Crime,7.5977357383593,121.8,112,106,113,129,134,137
